symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-05-25 00:00:00+00:00,98.36,98.98,97.86,98.3,18363918,93.2015895955,93.7890741985,92.7278116899,93.1447362469,18363918,0.0,1.0
MSFT,2018-05-29 00:00:00+00:00,98.01,98.88,97.23,97.84,28670981,92.8699450616,93.6943186174,92.1308515288,92.7088605737,28670981,0.0,1.0
MSFT,2018-05-30 00:00:00+00:00,98.95,99.25,97.91,98.31,22158528,93.7606475242,94.0449142676,92.7751894805,93.154211805,22158528,0.0,1.0
MSFT,2018-05-31 00:00:00+00:00,98.84,99.99,98.61,99.29,34140891,93.6564163849,94.7461055679,93.4384785484,94.0828165,34140891,0.0,1.0
MSFT,2018-06-01 00:00:00+00:00,100.79,100.86,99.17,99.28,28655624,95.5041502169,95.5704791237,93.9691098027,94.0733409419,28655624,0.0,1.0
MSFT,2018-06-04 00:00:00+00:00,101.67,101.86,100.85,101.26,27281623,96.3379993308,96.5180349349,95.5610035656,95.9495014482,27281623,0.0,1.0
MSFT,2018-06-05 00:00:00+00:00,102.19,102.33,101.53,102.0,23514402,96.8307283527,96.9633861662,96.2053415172,96.6506927485,23514402,0.0,1.0
MSFT,2018-06-06 00:00:00+00:00,102.49,102.6,101.9,102.48,21122917,97.114995096,97.2192262353,96.5559371674,97.1055195379,21122917,0.0,1.0
MSFT,2018-06-07 00:00:00+00:00,100.88,102.69,100.38,102.65,28232197,95.5894302399,97.3045062583,95.1156523343,97.2666040258,28232197,0.0,1.0
MSFT,2018-06-08 00:00:00+00:00,101.63,101.95,100.54,101.09,22165128,96.3000970984,96.603314958,95.2672612641,95.7884169603,22165128,0.0,1.0
MSFT,2018-06-11 00:00:00+00:00,101.05,101.59,100.67,101.01,23490894,95.7505147278,96.2621948659,95.3904435195,95.7126124954,23490894,0.0,1.0
MSFT,2018-06-12 00:00:00+00:00,101.31,101.45,100.75,101.1,18325228,95.9968792388,96.1295370523,95.4662479844,95.7978925184,18325228,0.0,1.0
MSFT,2018-06-13 00:00:00+00:00,100.85,102.01,100.56,101.72,29492875,95.5610035656,96.6601683066,95.2862123803,96.3853771214,29492875,0.0,1.0
MSFT,2018-06-14 00:00:00+00:00,101.42,102.03,101.0,101.65,25691811,96.101110378,96.6791194229,95.7031369373,96.3190482146,25691811,0.0,1.0
MSFT,2018-06-15 00:00:00+00:00,100.13,101.53,100.07,101.51,65738585,94.8787633815,96.2053415172,94.8219100328,96.186390401,65738585,0.0,1.0
MSFT,2018-06-18 00:00:00+00:00,100.86,101.11,99.42,100.01,23586037,95.5704791237,95.8073680765,94.2059987555,94.7650566841,23586037,0.0,1.0
MSFT,2018-06-19 00:00:00+00:00,100.86,101.0,99.5,99.65,28653087,95.5704791237,95.7031369373,94.2818032204,94.4239365921,28653087,0.0,1.0
MSFT,2018-06-20 00:00:00+00:00,101.87,102.52,101.12,101.37,26180792,96.5275104931,97.1434217704,95.8168436346,96.0537325874,26180792,0.0,1.0
MSFT,2018-06-21 00:00:00+00:00,101.14,102.46,100.88,102.08,23198188,95.8357947508,97.0865684217,95.5894302399,96.7264972134,23198188,0.0,1.0
MSFT,2018-06-22 00:00:00+00:00,100.41,100.77,99.63,100.41,38923105,95.1440790086,95.4851991007,94.4049854758,95.1440790086,38923105,0.0,1.0
MSFT,2018-06-25 00:00:00+00:00,98.39,100.11,97.3,100.0,35433333,93.2300162699,94.8598122652,92.1971804356,94.755581126,35433333,0.0,1.0
MSFT,2018-06-26 00:00:00+00:00,99.08,100.08,98.75,98.82,26897244,93.8838297796,94.8313855909,93.5711363619,93.6374652687,26897244,0.0,1.0
MSFT,2018-06-27 00:00:00+00:00,97.54,100.02,97.4,99.58,31298386,92.4245938303,94.7745322422,92.2919360167,94.3576076853,31298386,0.0,1.0
MSFT,2018-06-28 00:00:00+00:00,98.63,99.11,97.26,97.38,26650671,93.4574296646,93.912256454,92.1592782031,92.2729849005,26650671,0.0,1.0
MSFT,2018-06-29 00:00:00+00:00,98.61,99.91,98.33,98.93,28053214,93.4384785484,94.670301103,93.1731629212,93.741696408,28053214,0.0,1.0
MSFT,2018-07-02 00:00:00+00:00,100.01,100.06,98.0,98.1,19564521,94.7650566841,94.8124344747,92.8604695035,92.9552250846,19564521,0.0,1.0
MSFT,2018-07-03 00:00:00+00:00,99.05,100.63,98.94,100.48,14670275,93.8554031053,95.3525412871,93.7511719661,95.2104079154,14670275,0.0,1.0
MSFT,2018-07-05 00:00:00+00:00,99.76,99.92,99.03,99.5,18977402,94.5281677313,94.6797766611,93.8364519891,94.2818032204,18977402,0.0,1.0
MSFT,2018-07-06 00:00:00+00:00,101.16,101.43,99.67,99.89,19234627,95.8547458671,96.1105859361,94.4428877083,94.6513499868,19234627,0.0,1.0
MSFT,2018-07-09 00:00:00+00:00,101.85,102.25,101.25,101.65,18211980,96.5085593768,96.8875817013,95.9400258901,96.3190482146,18211980,0.0,1.0
MSFT,2018-07-10 00:00:00+00:00,102.12,102.51,101.86,102.0,19293140,96.7643994459,97.1339462123,96.5180349349,96.6506927485,19293140,0.0,1.0
MSFT,2018-07-11 00:00:00+00:00,101.98,102.34,101.1,101.15,19644648,96.6317416323,96.9728617244,95.7978925184,95.845270309,19644648,0.0,1.0
MSFT,2018-07-12 00:00:00+00:00,104.19,104.41,102.73,102.77,24335929,98.7258399752,98.9343022537,97.3424084907,97.3803107232,24335929,0.0,1.0
MSFT,2018-07-13 00:00:00+00:00,105.43,105.6,104.09,104.37,24653500,99.9008091811,100.0618936691,98.6310843941,98.8964000212,24653500,0.0,1.0
MSFT,2018-07-16 00:00:00+00:00,104.91,105.82,104.52,105.4,21786912,99.4080801593,100.2703559475,99.0385333929,99.8723825068,21786912,0.0,1.0
MSFT,2018-07-17 00:00:00+00:00,105.95,106.5,104.32,104.61,25901726,100.393538203,100.9146938992,98.8490222306,99.1238134159,25901726,0.0,1.0
MSFT,2018-07-18 00:00:00+00:00,105.12,106.05,104.72,105.94,29493927,99.6070668797,100.4882937841,99.2280445551,100.3840626449,29493927,0.0,1.0
MSFT,2018-07-19 00:00:00+00:00,104.4,105.31,103.89,104.93,40171646,98.9248266955,99.7871024838,98.4415732318,99.4270312755,40171646,0.0,1.0
MSFT,2018-07-20 00:00:00+00:00,106.27,108.2,106.08,108.08,56038827,100.6967560626,102.5255387783,100.5167204585,102.411832081,56038827,0.0,1.0
MSFT,2018-07-23 00:00:00+00:00,107.97,108.14,106.13,106.3,29706955,102.3076009417,102.4686854297,100.564098249,100.7251827369,29706955,0.0,1.0
MSFT,2018-07-24 00:00:00+00:00,107.66,108.82,107.26,108.57,26316619,102.0138586403,103.1130233813,101.6348363157,102.8761344285,26316619,0.0,1.0
MSFT,2018-07-25 00:00:00+00:00,110.83,111.15,107.6,107.96,30798058,105.0176105619,105.3208284216,101.9570052916,102.2981253836,30798058,0.0,1.0
MSFT,2018-07-26 00:00:00+00:00,109.62,111.0,109.5,110.74,31372110,103.8710680303,105.1786950499,103.757361333,104.9323305389,31372110,0.0,1.0
MSFT,2018-07-27 00:00:00+00:00,107.68,110.18,106.14,110.18,37005292,102.0328097565,104.4016992846,100.5735738071,104.4016992846,37005292,0.0,1.0
MSFT,2018-07-30 00:00:00+00:00,105.37,107.53,104.76,107.19,34668327,99.8439558325,101.8906763848,99.2659467876,101.568507409,34668327,0.0,1.0
MSFT,2018-07-31 00:00:00+00:00,106.08,106.72,105.38,106.49,27655152,100.5167204585,101.1231561777,99.8534313906,100.9052183411,27655152,0.0,1.0
MSFT,2018-08-01 00:00:00+00:00,106.28,106.45,105.42,106.03,23628699,100.7062316207,100.8673161086,99.891333623,100.4693426679,23628699,0.0,1.0
MSFT,2018-08-02 00:00:00+00:00,107.57,108.09,104.84,105.4,26104258,101.9285786172,102.4213076391,99.3417512525,99.8723825068,26104258,0.0,1.0
MSFT,2018-08-03 00:00:00+00:00,108.04,108.05,106.82,107.8,18659599,102.3739298485,102.3834054066,101.2179117588,102.1465164538,18659599,0.0,1.0
MSFT,2018-08-06 00:00:00+00:00,108.13,108.42,107.56,108.12,20265947,102.4592098715,102.7340010568,101.9191030591,102.4497343134,20265947,0.0,1.0
MSFT,2018-08-07 00:00:00+00:00,108.88,109.1,108.17,108.56,16080214,103.16987673,103.3783390085,102.497112104,102.8666588704,16080214,0.0,1.0
MSFT,2018-08-08 00:00:00+00:00,109.49,109.75,108.76,109.33,15487502,103.7478857749,103.9942502858,103.0561700326,103.5962768451,15487502,0.0,1.0
MSFT,2018-08-09 00:00:00+00:00,109.67,110.16,109.6,109.71,13677211,103.9184458209,104.3827481684,103.8521169141,103.9563480533,13677211,0.0,1.0
MSFT,2018-08-10 00:00:00+00:00,109.0,109.69,108.38,109.42,18183724,103.2835834273,103.9373969371,102.6960988244,103.6815568681,18183724,0.0,1.0
MSFT,2018-08-13 00:00:00+00:00,108.21,109.58,108.1,109.24,18474884,102.5350143364,103.8331657979,102.4307831972,103.510996822,18474884,0.0,1.0
MSFT,2018-08-14 00:00:00+00:00,109.56,109.75,108.04,108.56,16788314,103.8142146816,103.9942502858,102.3739298485,102.8666588704,16788314,0.0,1.0
MSFT,2018-08-15 00:00:00+00:00,107.66,108.99,106.82,108.49,29982806,102.411832081,103.6769977569,101.6127800751,103.2013715629,29982806,0.42,1.0
MSFT,2018-08-16 00:00:00+00:00,107.64,108.86,107.3,108.3,21384289,102.3928070332,103.5533349465,102.0693812213,103.0206336092,21384289,0.0,1.0
MSFT,2018-08-17 00:00:00+00:00,107.58,107.9,106.69,107.36,18061512,102.33573189,102.6401326541,101.4891172647,102.1264563646,18061512,0.0,1.0
MSFT,2018-08-20 00:00:00+00:00,106.87,107.9,106.48,107.51,17914201,101.6603426945,102.6401326541,101.2893542633,102.2691442228,17914201,0.0,1.0
MSFT,2018-08-21 00:00:00+00:00,105.98,107.35,105.85,106.92,22881861,100.8137280693,102.1169438407,100.6900652589,101.7079053139,22881861,0.0,1.0
MSFT,2018-08-22 00:00:00+00:00,107.06,107.34,105.78,105.85,18000639,101.8410806482,102.1074313169,100.6234775917,100.6900652589,18000639,0.0,1.0
MSFT,2018-08-23 00:00:00+00:00,107.56,108.18,106.87,107.15,18167723,102.3167068422,102.9064833227,101.6603426945,101.9266933632,18167723,0.0,1.0
MSFT,2018-08-24 00:00:00+00:00,108.4,108.56,107.56,107.67,17234020,103.115758848,103.2679592301,102.3167068422,102.4213446049,17234020,0.0,1.0
MSFT,2018-08-27 00:00:00+00:00,109.6,109.64,108.51,109.27,19662331,104.2572617135,104.295311809,103.2203966107,103.9433484255,19662331,0.0,1.0
MSFT,2018-08-28 00:00:00+00:00,110.26,110.5,109.79,109.94,19151528,104.8850882895,105.1133888626,104.4379996672,104.5806875254,19151528,0.0,1.0
MSFT,2018-08-29 00:00:00+00:00,112.02,112.03,110.27,110.45,20818044,106.5592924922,106.5688050161,104.8946008134,105.0658262432,20818044,0.0,1.0
MSFT,2018-08-30 00:00:00+00:00,111.95,112.61,111.44,111.67,22798702,106.4927048251,107.1205314011,106.0075661072,106.2263541565,22798702,0.0,1.0
MSFT,2018-08-31 00:00:00+00:00,112.33,112.78,111.52,111.69,23222713,106.8541807325,107.282244307,106.0836662983,106.2453792042,23222713,0.0,1.0
MSFT,2018-09-04 00:00:00+00:00,111.71,111.96,110.22,110.85,22634641,106.264404252,106.5022173489,104.847038194,105.4463271984,22634641,0.0,1.0
MSFT,2018-09-05 00:00:00+00:00,108.49,111.42,108.1,111.01,32872352,103.2013715629,105.9885410595,102.8303831317,105.5985275804,32872352,0.0,1.0
MSFT,2018-09-06 00:00:00+00:00,108.74,108.99,107.51,108.25,23477624,103.4391846599,103.6769977569,102.2691442228,102.9730709898,23477624,0.0,1.0
MSFT,2018-09-07 00:00:00+00:00,108.21,108.72,107.23,108.23,22498646,102.9350208943,103.4201596122,102.0027935542,102.9540459421,22498646,0.0,1.0
MSFT,2018-09-10 00:00:00+00:00,109.38,109.64,108.36,108.84,20727906,104.0479861882,104.295311809,103.0777087525,103.5343098987,20727906,0.0,1.0
MSFT,2018-09-11 00:00:00+00:00,111.24,111.59,108.89,108.9,24301774,105.8173156297,106.1502539654,103.5818725181,103.591385042,24301774,0.0,1.0
MSFT,2018-09-12 00:00:00+00:00,111.71,111.85,110.51,111.43,18891064,106.264404252,106.3975795863,105.1229013865,105.9980535834,18891064,0.0,1.0
MSFT,2018-09-13 00:00:00+00:00,112.91,113.73,112.12,112.12,26055620,107.4059071174,108.1859340755,106.654417731,106.654417731,26055620,0.0,1.0
MSFT,2018-09-14 00:00:00+00:00,113.37,113.73,112.44,113.36,19122349,107.8434832159,108.1859340755,106.9588184951,107.833970692,19122349,0.0,1.0
MSFT,2018-09-17 00:00:00+00:00,112.14,113.7,111.86,113.69,20736516,106.6734427788,108.1573965039,106.4070921102,108.14788398,20736516,0.0,1.0
MSFT,2018-09-18 00:00:00+00:00,113.21,113.7,111.72,112.19,22170934,107.6912828338,108.1573965039,106.2739167758,106.7210053982,22170934,0.0,1.0
MSFT,2018-09-19 00:00:00+00:00,111.7,113.32,111.04,113.05,21728429,106.2548917281,107.7959205965,105.6270651521,107.5390824517,21728429,0.0,1.0
MSFT,2018-09-20 00:00:00+00:00,113.57,113.8,111.93,112.28,23714512,108.0337336935,108.2525217427,106.4736797773,106.8066181131,23714512,0.0,1.0
MSFT,2018-09-21 00:00:00+00:00,114.26,115.29,113.51,114.0,71229698,108.6900978411,109.6698878006,107.9766585502,108.4427722203,71229698,0.0,1.0
MSFT,2018-09-24 00:00:00+00:00,114.67,114.9,112.22,113.03,27334460,109.0801113201,109.2988993694,106.7495429698,107.520057404,27334460,0.0,1.0
MSFT,2018-09-25 00:00:00+00:00,114.45,115.1,113.75,114.8,22668014,108.8708357948,109.4891498469,108.2049591233,109.2037741306,22668014,0.0,1.0
MSFT,2018-09-26 00:00:00+00:00,113.98,115.06,113.74,114.47,19352025,108.4237471725,109.4510997514,108.1954465994,108.8898608426,19352025,0.0,1.0
MSFT,2018-09-27 00:00:00+00:00,114.41,114.91,114.2,114.78,19091299,108.8327856993,109.3084118932,108.6330226978,109.1847490828,19091299,0.0,1.0
